Detector Type, Dexcriptor Type, Image No., No. of Matched Keypoints, Time Detector, Time Descriptor, Time Total
SHITOMASI, BRISK, 1, 95, 13, 191, 204
SHITOMASI, BRISK, 2, 88, 17, 192, 209
SHITOMASI, BRISK, 3, 80, 13, 194, 207
SHITOMASI, BRISK, 4, 90, 13, 193, 206
SHITOMASI, BRISK, 5, 82, 13, 191, 204
SHITOMASI, BRISK, 6, 79, 11, 190, 201
SHITOMASI, BRISK, 7, 85, 8, 190, 198
SHITOMASI, BRISK, 8, 86, 13, 192, 205
SHITOMASI, BRISK, 9, 82, 13, 191, 204
SHITOMASI, BRIEF, 1, 115, 13, 0, 13
SHITOMASI, BRIEF, 2, 111, 12, 1, 13
SHITOMASI, BRIEF, 3, 104, 10, 0, 10
SHITOMASI, BRIEF, 4, 101, 11, 0, 11
SHITOMASI, BRIEF, 5, 102, 11, 0, 11
SHITOMASI, BRIEF, 6, 102, 10, 0, 10
SHITOMASI, BRIEF, 7, 100, 11, 0, 11
SHITOMASI, BRIEF, 8, 109, 11, 0, 11
SHITOMASI, BRIEF, 9, 100, 11, 0, 11
SHITOMASI, ORB, 1, 104, 11, 3, 14
SHITOMASI, ORB, 2, 103, 13, 2, 15
SHITOMASI, ORB, 3, 100, 10, 3, 13
SHITOMASI, ORB, 4, 102, 12, 3, 15
SHITOMASI, ORB, 5, 103, 11, 3, 14
SHITOMASI, ORB, 6, 98, 11, 3, 14
SHITOMASI, ORB, 7, 98, 11, 3, 14
SHITOMASI, ORB, 8, 102, 11, 3, 14
SHITOMASI, ORB, 9, 97, 11, 3, 14
SHITOMASI, FREAK, 1, 86, 10, 30, 40
SHITOMASI, FREAK, 2, 90, 10, 31, 41
SHITOMASI, FREAK, 3, 86, 13, 34, 47
SHITOMASI, FREAK, 4, 88, 13, 30, 43
SHITOMASI, FREAK, 5, 86, 12, 30, 42
SHITOMASI, FREAK, 6, 80, 13, 29, 42
SHITOMASI, FREAK, 7, 81, 10, 29, 39
SHITOMASI, FREAK, 8, 86, 10, 29, 39
SHITOMASI, FREAK, 9, 85, 13, 29, 42
SHITOMASI, SIFT, 1, 112, 13, 13, 26
SHITOMASI, SIFT, 2, 109, 11, 18, 29
SHITOMASI, SIFT, 3, 104, 14, 15, 29
SHITOMASI, SIFT, 4, 103, 15, 26, 41
SHITOMASI, SIFT, 5, 99, 16, 20, 36
SHITOMASI, SIFT, 6, 101, 15, 20, 35
SHITOMASI, SIFT, 7, 96, 15, 15, 30
SHITOMASI, SIFT, 8, 106, 15, 18, 33
SHITOMASI, SIFT, 9, 97, 14, 23, 37
HARRIS, BRISK, 1, 10, 17, 248, 265
HARRIS, BRISK, 2, 11, 13, 209, 222
HARRIS, BRISK, 3, 14, 11, 210, 221
HARRIS, BRISK, 4, 13, 15, 206, 221
HARRIS, BRISK, 5, 14, 15, 200, 215
HARRIS, BRISK, 6, 14, 10, 194, 204
HARRIS, BRISK, 7, 16, 15, 192, 207
HARRIS, BRISK, 8, 20, 14, 192, 206
HARRIS, BRISK, 9, 17, 13, 190, 203
HARRIS, BRIEF, 1, 10, 11, 0, 11
HARRIS, BRIEF, 2, 13, 10, 0, 10
HARRIS, BRIEF, 3, 15, 13, 0, 13
HARRIS, BRIEF, 4, 15, 12, 0, 12
HARRIS, BRIEF, 5, 20, 12, 0, 12
HARRIS, BRIEF, 6, 17, 12, 0, 12
HARRIS, BRIEF, 7, 16, 11, 0, 11
HARRIS, BRIEF, 8, 22, 13, 0, 13
HARRIS, BRIEF, 9, 18, 12, 0, 12
HARRIS, ORB, 1, 10, 14, 5, 19
HARRIS, ORB, 2, 13, 16, 4, 20
HARRIS, ORB, 3, 16, 12, 4, 16
HARRIS, ORB, 4, 17, 14, 3, 17
HARRIS, ORB, 5, 18, 17, 3, 20
HARRIS, ORB, 6, 16, 16, 3, 19
HARRIS, ORB, 7, 17, 13, 3, 16
HARRIS, ORB, 8, 21, 18, 4, 22
HARRIS, ORB, 9, 18, 16, 3, 19
HARRIS, FREAK, 1, 9, 10, 29, 39
HARRIS, FREAK, 2, 13, 15, 34, 49
HARRIS, FREAK, 3, 14, 9, 28, 37
HARRIS, FREAK, 4, 14, 11, 29, 40
HARRIS, FREAK, 5, 14, 11, 31, 42
HARRIS, FREAK, 6, 14, 13, 29, 42
HARRIS, FREAK, 7, 12, 13, 28, 41
HARRIS, FREAK, 8, 20, 13, 32, 45
HARRIS, FREAK, 9, 18, 13, 33, 46
HARRIS, SIFT, 1, 10, 13, 19, 32
HARRIS, SIFT, 2, 13, 15, 16, 31
HARRIS, SIFT, 3, 17, 15, 17, 32
HARRIS, SIFT, 4, 15, 15, 15, 30
HARRIS, SIFT, 5, 19, 13, 13, 26
HARRIS, SIFT, 6, 17, 11, 14, 25
HARRIS, SIFT, 7, 14, 14, 19, 33
HARRIS, SIFT, 8, 23, 15, 13, 28
HARRIS, SIFT, 9, 19, 16, 18, 34
FAST, BRISK, 1, 256, 2, 250, 252
FAST, BRISK, 2, 243, 1, 220, 221
FAST, BRISK, 3, 241, 2, 217, 219
FAST, BRISK, 4, 239, 2, 225, 227
FAST, BRISK, 5, 215, 2, 219, 221
FAST, BRISK, 6, 251, 2, 239, 241
FAST, BRISK, 7, 248, 2, 263, 265
FAST, BRISK, 8, 243, 2, 259, 261
FAST, BRISK, 9, 247, 2, 263, 265
